product_views;cart_additions;ad_clicks;discount_rate;user_rating;time_on_site;device_type;purchases
476;104;8;0,469484909;3,938120341;12,30534514;Mobile;124,0590801
263;30;32;0,332805073;1,202047352;19,72569623;Desktop;50,28049224
673;69;199;0,132136566;2,998778854;13,28170132;Desktop;126,7216501
442;41;293;0,219347574;4,84615785;14,72846805;Desktop;140,9847661
317;156;220;;2,138555121;2,032117751;Tablet;158,6733661
289;103;284;0,284963907;4,617213189;11,93439299;Tablet;164,1807482
387;124;24;0,428725139;1,604370639;8,65991125;Mobile;110,6836046
153;25;264;0,294950141;1,026409815;6,59937569;Desktop;97,78189383
149;118;42;0,489363075;3,122085541;9,888413364;Mobile;
647;146;265;0,363404545;1,956973232;10,54316991;Tablet;193,9525684
945;140;292;0,494258599;4,516896808;6,87804049;Mobile;221,2584369
532;161;155;0,275374576;3,695688018;10,9423188;Mobile;179,0971934
930;31;162;0,339224594;3,747561415;9,132564511;Desktop;126,8097318
197;114;151;0,368949286;3,693121611;13,51219437;Tablet;144,9381182
974;101;168;0,377373517;3,715830683;11,1378742;Desktop;
607;;246;0,012214814;3,988459426;11,87961679;Mobile;181,8212561
756;141;88;0,06373716;3,679550613;14,89693984;Mobile;149,1898214
108;191;88;;4,337101102;12,7747793;Tablet;
623;14;290;0,135747245;3,232488548;9,969578037;Desktop;124,0507054
413;95;255;0,452684095;2,402752895;1;Desktop;159,7128256
903;143;164;0,361301612;2,867388687;12,56863997;Tablet;187,161489
802;26;64;0,071640805;2,760940128;5,440383489;Mobile;79,72943981
871;133;286;0,213177517;2,330025219;9,568810876;Desktop;194,3479675
895;53;264;0,121560773;2,66187249;11,85523493;Desktop;145,0870943
734;24;101;0,414931823;2,539947007;;Mobile;100,4641841
282;134;164;0,458898493;1,444561123;19,21161401;Tablet;146,8856621
318;91;128;0,082145068;4,322209204;5,393908566;Tablet;112,9760613
866;87;253;0,208285391;4,025862925;3,420685618;Tablet;175,3656153
621;71;207;0,476418493;2,350154929;11,62858585;Mobile;142,1101709
897;140;150;0,328544721;4,780528156;11,21213877;Tablet;183,4930026
805;127;290;0,434048434;4,797450163;3,99062061;Desktop;204,3455414
626;136;184;0,178846866;4,426878898;9,91698499;Desktop;177,6526786
194;159;147;0,104851183;1,117491355;12,98770473;Mobile;127,5153543
983;125;278;0,345651864;2,484871977;3,849241389;Desktop;203,8260684
280;24;137;0,068713167;2,829346267;5,027073039;Tablet;
283;39;128;0,419950948;3,87486513;6,779200323;Mobile;102,8329122
188;198;119;0,377418578;3,539249338;8,938698755;Desktop;170,9735925
115;64;69;0,152453318;3,713514454;13,46985753;Desktop;85,25406619
;91;87;0,24935576;4,068853655;8,367596632;Desktop;122,2907101
851;81;31;0,39959695;4,793741716;10,27658413;Mobile;134,6356647
872;198;219;0,46745516;3,206033469;21,23088915;Mobile;225,2406346
516;166;179;0,176080248;4,616169858;5,218448587;Tablet;185,1315147
348;101;280;0,394995909;4,25927554;6,735033013;Desktop;162,4349392
379;139;185;0,097233541;2,351696993;13,39044437;Tablet;132,0705876
922;114;28;0,45177007;4,254681869;;Desktop;144,7631071
102;132;188;0,343125005;1,469381088;12,07400437;Desktop;126,3352494
;191;56;0,07636966;1,635038496;19,04483784;Mobile;128,776637
111;137;15;0,369914461;4,969513942;11,58727967;Desktop;132,6243587
893;;200;0,362028836;;1;Tablet;121,7254104
136;105;13;0,371148728;2,842472096;10,48497844;Mobile;91,80552033
944;165;125;0,172438709;4,804123471;7,14508188;Mobile;188,50219
224;17;269;0,369900125;2,447359145;16,91905874;Mobile;113,6512427
;77;80;0,413285028;1,94786639;14,82312032;Desktop;110,9462078
971;48;210;0,173564455;1,31128695;2,051546118;Mobile;132,9438112
160;146;116;0,103978833;3,090479209;16,75159032;Tablet;125,2760505
317;36;38;0,443939961;1,798756572;14,69683884;Mobile;87,14627295
741;128;63;0,310347032;1,259224139;8,377689354;Desktop;137,0239427
826;22;27;0,230193585;4,252277838;9,607790528;Mobile;93,21029133
911;185;49;0,439871953;2,314387665;16,96088521;Desktop;183,5329093
68;70;52;0,068002822;3,317560728;1;Tablet;
788;87;265;0,405292303;1,418582559;12,22699003;Tablet;169,229579
355;159;243;1,677047199;3,022330532;15,46704818;Tablet;168,9837516
579;82;109;0,021262131;3,52736045;9,556434846;Desktop;101,3957403
910;31;;0,486306343;2,799454444;13,23954907;Desktop;143,4855711
907;181;65;0,389033371;2,349927266;10,51577268;Mobile;185,1807008
225;31;;0,107377912;2,243820138;6,079803651;Tablet;79,64209217
497;104;64;0,46184779;1,437535012;5,954849913;Tablet;121,4580023
319;33;194;0,467672779;1,462764839;13,55964634;Tablet;97,19994619
634;142;110;0,4002328;2,982784652;6,821466372;Tablet;165,6210264
835;61;258;0,063585217;;2,377095308;Mobile;138,3031036
352;187;251;0,093190667;1,893803368;10,61199346;Mobile;176,5883911
165;48;103;;1,65927069;7,434592895;;81,58428505
111;137;17;0,456902885;4,209937445;4,004459374;Mobile;114,7774011
100;12;100;0,107509069;2,798868271;10,35873717;Tablet;44,6612019
398;31;88;0,230413918;3,210358126;13,8363837;Desktop;81,34616776
967;62;130;0,07739698;3,331832592;10,10075032;Mobile;129,457761
289;177;174;0,239003921;2,585539491;4,66879572;Desktop;165,9166665
434;199;296;0,321264565;2,193724203;12,40901781;Desktop;
691;126;23;0,009277444;2,52978204;15,17578191;Mobile;120,5072524
674;73;;0,321463596;3,13929279;21,06517082;Tablet;144,7801185
306;69;55;0,319874964;2,434309042;17,20922015;Tablet;90,24287834
170;50;166;0,227504243;1,546463698;4,973208049;;87,853171
198;74;192;0,447701131;4,654747769;14,29041369;Mobile;131,3485661
259;104;243;0,067409509;3,929624968;11,2826196;Tablet;137,0653307
131;140;170;0,025655915;1,265079442;4,239504196;Mobile;119,429965
486;53;57;0,24791558;4,622799801;11,41897606;Tablet;107,3679971
663;16;274;0,26651726;1,68186076;19,59338349;Tablet;124,220887
691;116;124;0,133344593;1,390920734;15,97932105;Mobile;136,6956876
913;56;146;0,480813853;1,692867591;4,932750969;Mobile;133,5795914
328;86;194;0,12686362;4,732135623;10,06858608;Tablet;124,719842
